267,How Long Will I Love U,"May 25, 2018",Well Go USA,Romantic Comedy,"$746,933","83,270"
268,On Chesil Beach,"May 18, 2018",Bleecker Street,Drama,"$745,972","83,162"
269,The Polar Express,"Nov 10, 2004",Warner Bros.,Adventure,"$731,018","81,496"
270,Vox Lux,"Dec 7, 2018",Neon,Musical,"$727,119","81,061"
271,Walk with me,"Jul 18, 2017",Gathr Films,Documentary,"$726,593","81,002"
272,Mirai no Mirai,"Nov 29, 2018",GKIDS,Adventure,"$722,601","80,557"
273,The Catcher Was A Spy,"Jun 22, 2018",IFC Films,Drama,"$714,205","79,621"
274,The Little Stranger,"Aug 31, 2018",Focus Features,Drama,"$713,143","79,503"
275,Monster Hunt 2,"Feb 16, 2018",Lionsgate,Adventure,"$706,153","78,724"
276,Boundaries,"Jun 22, 2018",Sony Pictures Cla…,Drama,"$701,828","78,241"
277,Blaze,"Aug 17, 2018",IFC Films,Drama,"$699,114","77,939"
278,Nothing to Lose,"May 10, 2018",Swen Group,Drama,"$679,531","75,755"
279,The Island,"Aug 10, 2018",Well Go USA,Comedy,"$670,883","74,791"
280,Bombshell: The Hedy Lamarr …,"Nov 24, 2017",Zeitgeist,Documentary,"$664,289","74,056"
281,Perfect Blue,"Aug 20, 1999",,,"$664,129","74,038"
282,Ex Files 3: Return of the Exes,"Dec 29, 2017",China Lion Film D…,Comedy,"$656,871","73,229"
283,Lizzie,"Sep 14, 2018",Roadside Attractions,Drama,"$642,157","71,589"
284,"Love, Gilda","Sep 21, 2018",Magnolia Pictures,Documentary,"$626,318","69,823"
285,Itzhak,"Mar 9, 2018",Greenwich,Documentary,"$618,626","68,966"
286,Burning,"Oct 26, 2018",Well Go USA,Thriller/Suspense,"$618,493","68,951"
287,Foxtrot,"Mar 2, 2018",Sony Pictures Cla…,Drama,"$617,972","68,893"
288,The Florida Project,"Oct 6, 2017",A24,Drama,"$607,067","67,677"
289,Marshall,"Oct 13, 2017",Open Road,Drama,"$583,341","65,032"
290,Loveless,"Feb 16, 2018",Sony Pictures Cla…,Drama,"$564,073","62,884"
291,Get Out,"Feb 24, 2017",Universal,Horror,"$556,525","62,042"
292,A Cool Fish,"Nov 16, 2018",China Lion Film D…,Comedy,"$551,196","61,448"
293,Anna and the Apocalypse,"Nov 30, 2018",Orion Pictures,Musical,"$545,597","60,824"
294,Pick of the Litter,"Aug 31, 2018",IFC Films,Documentary,"$536,617","59,823"
